VOBC, Acc0, Acc1, Date
2,0.066,0.035,20180705
10,0.068,0.069,20180705
11,0.067,0.055,20180705
13,0.077,0.055,20180705
14,0.025,0.057,20180705
18,0.01,0.046,20180705
19,0.022,0.054,20180705
20,0.039,0.017,20180705
22,0.072,0.042,20180705
23,0.025,0.059,20180705
24,0.006,0.064,20180705
25,0.067,0.068,20180705
26,0.025,0.037,20180705
27,0.031,0.047,20180705
28,0.003,0.072,20180705
100,0.051,0.064,20180705
101,0.016,0.014,20180705
102,0.072,0.011,20180705
105,0.053,0.059,20180705
106,0.061,0.036,20180705
110,0.017,0.064,20180705
111,0.016,0.002,20180705
112,0.025,0.079,20180705
113,0.032,0.076,20180705
114,0.011,0.012,20180705
115,0.039,0.06,20180705
116,0.016,0.017,20180705
117,0.018,0.079,20180705
118,0.039,0.0,20180705
119,0.067,0.074,20180705
120,0.067,0.058,20180705
121,0.042,0.013,20180705
122,0.012,0.024,20180705
123,0.037,0.071,20180705
124,0.05,0.019,20180705
125,0.048,0.032,20180705
126,0.038,0.053,20180705
127,0.01,0.035,20180705
128,0.06,0.052,20180705
129,0.03,0.072,20180705
130,0.058,0.014,20180705
131,0.037,0.039,20180705
132,0.057,0.022,20180705
133,0.056,0.073,20180705
134,0.056,0.062,20180705
135,0.0,0.032,20180705
136,0.045,0.063,20180705
137,0.006,0.069,20180705
138,0.063,0.001,20180705
139,0.073,0.042,20180705
140,0.037,0.027,20180705
141,0.067,0.045,20180705
142,0.037,0.031,20180705
143,0.06,0.033,20180705
144,0.01,0.05,20180705
145,0.002,0.026,20180705
146,0.079,0.054,20180705
147,0.006,0.067,20180705
148,0.005,0.081,20180705
151,0.04,0.024,20180705
152,0.062,0.038,20180705
153,0.065,0.06,20180705
154,0.007,0.014,20180705
155,0.049,0.035,20180705
162,0.057,0.019,20180705
163,0.024,0.059,20180705
164,0.047,0.059,20180705
171,0.034,0.026,20180705
172,0.042,0.034,20180705
173,0.042,0.055,20180705
174,0.004,0.019,20180705
175,0.022,0.08,20180705
176,0.016,0.006,20180705
177,0.004,0.073,20180705
178,0.022,0.013,20180705
179,0.029,0.037,20180705
180,0.031,0.02,20180705
181,0.07,0.043,20180705
182,0.014,0.004,20180705
183,0.007,0.045,20180705
184,0.081,0.057,20180705
185,0.038,0.024,20180705
186,0.081,0.07,20180705
187,0.038,0.024,20180705
188,0.002,0.076,20180705
191,0.002,0.077,20180705
192,0.001,0.01,20180705
193,0.062,0.035,20180705
194,0.019,0.072,20180705
195,0.027,0.004,20180705
196,0.059,0.044,20180705
197,0.057,0.017,20180705
199,0.06,0.01,20180705
200,0.013,0.004,20180705
201,0.02,0.011,20180705
202,0.053,0.035,20180705
205,0.072,0.067,20180705
206,0.04,0.063,20180705
211,0.043,0.019,20180705
212,0.069,0.071,20180705
213,0.066,0.006,20180705
214,0.012,0.031,20180705
215,0.068,0.02,20180705
216,0.057,0.058,20180705
219,0.015,0.045,20180705
220,0.018,0.074,20180705
222,0.064,0.047,20180705
223,0.01,0.069,20180705
224,0.073,0.031,20180705
225,0.069,0.036,20180705
226,0.053,0.023,20180705
227,0.055,0.077,20180705
228,0.056,0.02,20180705
229,0.016,0.029,20180705
230,0.067,0.042,20180705
231,0.039,0.056,20180705
232,0.001,0.017,20180705
233,0.05,0.08,20180705
234,0.012,0.069,20180705
237,0.024,0.024,20180705
241,0.009,0.04,20180705
244,0.019,0.02,20180705
245,0.035,0.063,20180705
246,0.057,0.033,20180705
249,0.019,0.016,20180705
250,0.007,0.058,20180705
252,0.076,0.068,20180705
253,0.042,0.027,20180705
254,0.026,0.0,20180705
255,0.013,0.045,20180705
256,0.048,0.054,20180705
257,0.022,0.008,20180705
258,0.03,0.052,20180705
261,0.045,0.013,20180705
262,0.002,0.018,20180705
263,0.024,0.036,20180705
264,0.034,0.058,20180705
265,0.015,0.074,20180705
266,0.009,0.052,20180705
267,0.067,0.019,20180705
268,0.042,0.008,20180705
269,0.035,0.076,20180705
270,0.0,0.06,20180705
271,0.069,0.0,20180705
272,0.055,0.075,20180705
273,0.024,0.076,20180705
274,0.013,0.034,20180705
275,0.017,0.076,20180705
276,0.041,0.024,20180705
281,0.032,0.028,20180705
282,0.007,0.041,20180705
