VOBC, Acc0, Acc1, Date
2,0.004,0.05,20180624
10,0.048,0.03,20180624
11,0.05,0.05,20180624
13,0.041,0.03,20180624
14,0.025,0.002,20180624
18,0.05,0.023,20180624
19,0.043,0.052,20180624
20,0.027,0.007,20180624
22,0.041,0.029,20180624
23,0.021,0.011,20180624
24,0.046,0.012,20180624
25,0.045,0.023,20180624
26,0.048,0.057,20180624
27,0.012,0.029,20180624
28,0.036,0.038,20180624
100,0.051,0.022,20180624
101,0.033,0.026,20180624
102,0.019,0.018,20180624
105,0.057,0.03,20180624
106,0.03,0.04,20180624
110,0.011,0.059,20180624
111,0.004,0.027,20180624
112,0.054,0.036,20180624
113,0.005,0.042,20180624
114,0.053,0.041,20180624
115,0.025,0.001,20180624
116,0.002,0.049,20180624
117,0.005,0.051,20180624
118,0.056,0.002,20180624
119,0.035,0.016,20180624
120,0.007,0.026,20180624
121,0.036,0.017,20180624
122,0.03,0.034,20180624
123,0.009,0.048,20180624
124,0.012,0.041,20180624
125,0.042,0.026,20180624
126,0.009,0.04,20180624
127,0.008,0.054,20180624
128,0.031,0.036,20180624
129,0.04,0.024,20180624
130,0.031,0.052,20180624
131,0.048,0.058,20180624
132,0.027,0.059,20180624
133,0.046,0.009,20180624
134,0.027,0.043,20180624
135,0.024,0.005,20180624
136,0.048,0.004,20180624
137,0.009,0.045,20180624
138,0.048,0.036,20180624
139,0.004,0.026,20180624
140,0.0,0.014,20180624
141,0.033,0.007,20180624
142,0.035,0.047,20180624
143,0.005,0.04,20180624
144,0.039,0.032,20180624
145,0.053,0.01,20180624
146,0.058,0.016,20180624
147,0.008,0.0,20180624
148,0.059,0.034,20180624
151,0.05,0.03,20180624
152,0.031,0.008,20180624
153,0.02,0.037,20180624
154,0.004,0.009,20180624
155,0.052,0.033,20180624
162,0.012,0.039,20180624
163,0.013,0.035,20180624
164,0.018,0.016,20180624
171,0.049,0.029,20180624
172,0.022,0.009,20180624
173,0.039,0.032,20180624
174,0.023,0.011,20180624
175,0.055,0.021,20180624
176,0.024,0.005,20180624
177,0.019,0.035,20180624
178,0.019,0.009,20180624
179,0.039,0.003,20180624
180,0.0,0.012,20180624
181,0.034,0.022,20180624
182,0.009,0.058,20180624
183,0.036,0.011,20180624
184,0.035,0.006,20180624
185,0.012,0.017,20180624
186,0.049,0.026,20180624
187,0.014,0.055,20180624
188,0.042,0.054,20180624
191,0.017,0.028,20180624
192,0.044,0.035,20180624
193,0.056,0.007,20180624
194,0.003,0.01,20180624
195,0.057,0.027,20180624
196,0.014,0.009,20180624
197,0.031,0.025,20180624
199,0.027,0.014,20180624
200,0.014,0.008,20180624
201,0.005,0.052,20180624
202,0.054,0.021,20180624
205,0.042,0.036,20180624
206,0.059,0.046,20180624
211,0.03,0.021,20180624
212,0.047,0.008,20180624
213,0.048,0.045,20180624
214,0.026,0.053,20180624
215,0.042,0.018,20180624
216,0.02,0.036,20180624
219,0.029,0.042,20180624
220,0.006,0.007,20180624
222,0.002,0.023,20180624
223,0.003,0.019,20180624
224,0.058,0.046,20180624
225,0.008,0.035,20180624
226,0.058,0.014,20180624
227,0.032,0.008,20180624
228,0.031,0.035,20180624
229,0.039,0.004,20180624
230,0.042,0.026,20180624
231,0.022,0.041,20180624
232,0.044,0.053,20180624
233,0.046,0.032,20180624
234,0.053,0.015,20180624
237,0.007,0.023,20180624
241,0.015,0.04,20180624
244,0.003,0.029,20180624
245,0.023,0.001,20180624
246,0.049,0.02,20180624
249,0.017,0.015,20180624
250,0.025,0.003,20180624
252,0.056,0.056,20180624
253,0.002,0.022,20180624
254,0.041,0.045,20180624
255,0.022,0.03,20180624
256,0.03,0.059,20180624
257,0.011,0.036,20180624
258,0.055,0.02,20180624
261,0.054,0.009,20180624
262,0.028,0.02,20180624
263,0.016,0.045,20180624
264,0.015,0.017,20180624
265,0.04,0.015,20180624
266,0.018,0.013,20180624
267,0.048,0.059,20180624
268,0.034,0.045,20180624
269,0.035,0.041,20180624
270,0.033,0.011,20180624
271,0.001,0.043,20180624
272,0.037,0.017,20180624
273,0.038,0.049,20180624
274,0.019,0.04,20180624
275,0.006,0.042,20180624
276,0.025,0.044,20180624
281,0.043,0.01,20180624
282,0.019,0.046,20180624
