VOBC, Acc0, Acc1, Date
2,0.034,0.029,20180702
10,0.015,0.069,20180702
11,0.009,0.068,20180702
13,0.003,0.042,20180702
14,0.039,0.022,20180702
18,0.057,0.004,20180702
19,0.052,0.048,20180702
20,0.025,0.069,20180702
22,0.069,0.025,20180702
23,0.003,0.016,20180702
24,0.016,0.044,20180702
25,0.068,0.034,20180702
26,0.038,0.043,20180702
27,0.01,0.055,20180702
28,0.049,0.015,20180702
100,0.057,0.002,20180702
101,0.04,0.031,20180702
102,0.038,0.043,20180702
105,0.016,0.067,20180702
106,0.012,0.009,20180702
110,0.035,0.027,20180702
111,0.005,0.011,20180702
112,0.068,0.004,20180702
113,0.015,0.044,20180702
114,0.014,0.06,20180702
115,0.016,0.04,20180702
116,0.017,0.046,20180702
117,0.04,0.046,20180702
118,0.009,0.003,20180702
119,0.015,0.024,20180702
120,0.058,0.063,20180702
121,0.058,0.054,20180702
122,0.025,0.04,20180702
123,0.022,0.04,20180702
124,0.048,0.058,20180702
125,0.002,0.012,20180702
126,0.032,0.038,20180702
127,0.057,0.032,20180702
128,0.018,0.027,20180702
129,0.062,0.006,20180702
130,0.043,0.028,20180702
131,0.041,0.051,20180702
132,0.01,0.03,20180702
133,0.01,0.051,20180702
134,0.018,0.063,20180702
135,0.009,0.062,20180702
136,0.032,0.008,20180702
137,0.003,0.001,20180702
138,0.043,0.025,20180702
139,0.028,0.073,20180702
140,0.066,0.016,20180702
141,0.058,0.041,20180702
142,0.006,0.008,20180702
143,0.064,0.026,20180702
144,0.061,0.036,20180702
145,0.053,0.07,20180702
146,0.059,0.028,20180702
147,0.007,0.036,20180702
148,0.008,0.056,20180702
151,0.005,0.036,20180702
152,0.073,0.044,20180702
153,0.031,0.017,20180702
154,0.048,0.042,20180702
155,0.058,0.056,20180702
162,0.05,0.037,20180702
163,0.022,0.055,20180702
164,0.065,0.052,20180702
171,0.067,0.035,20180702
172,0.016,0.02,20180702
173,0.057,0.048,20180702
174,0.041,0.013,20180702
175,0.055,0.023,20180702
176,0.03,0.013,20180702
177,0.052,0.003,20180702
178,0.024,0.023,20180702
179,0.021,0.068,20180702
180,0.02,0.042,20180702
181,0.029,0.03,20180702
182,0.067,0.007,20180702
183,0.054,0.071,20180702
184,0.057,0.023,20180702
185,0.065,0.031,20180702
186,0.072,0.049,20180702
187,0.045,0.024,20180702
188,0.074,0.056,20180702
191,0.009,0.002,20180702
192,0.036,0.054,20180702
193,0.026,0.054,20180702
194,0.047,0.011,20180702
195,0.025,0.008,20180702
196,0.001,0.045,20180702
197,0.069,0.031,20180702
199,0.017,0.074,20180702
200,0.006,0.054,20180702
201,0.03,0.039,20180702
202,0.045,0.01,20180702
205,0.027,0.058,20180702
206,0.058,0.05,20180702
211,0.067,0.002,20180702
212,0.003,0.06,20180702
213,0.02,0.004,20180702
214,0.01,0.066,20180702
215,0.067,0.059,20180702
216,0.022,0.066,20180702
219,0.036,0.035,20180702
220,0.075,0.004,20180702
222,0.011,0.041,20180702
223,0.059,0.062,20180702
224,0.028,0.063,20180702
225,0.036,0.065,20180702
226,0.05,0.072,20180702
227,0.01,0.008,20180702
228,0.028,0.038,20180702
229,0.043,0.047,20180702
230,0.04,0.051,20180702
231,0.067,0.038,20180702
232,0.028,0.029,20180702
233,0.043,0.04,20180702
234,0.07,0.012,20180702
237,0.045,0.068,20180702
241,0.057,0.033,20180702
244,0.033,0.071,20180702
245,0.061,0.02,20180702
246,0.035,0.072,20180702
249,0.018,0.041,20180702
250,0.027,0.033,20180702
252,0.001,0.038,20180702
253,0.008,0.028,20180702
254,0.068,0.025,20180702
255,0.031,0.021,20180702
256,0.027,0.006,20180702
257,0.021,0.07,20180702
258,0.072,0.041,20180702
261,0.048,0.072,20180702
262,0.064,0.062,20180702
263,0.051,0.046,20180702
264,0.018,0.07,20180702
265,0.033,0.02,20180702
266,0.073,0.015,20180702
267,0.047,0.021,20180702
268,0.033,0.049,20180702
269,0.017,0.07,20180702
270,0.049,0.015,20180702
271,0.05,0.058,20180702
272,0.006,0.023,20180702
273,0.011,0.05,20180702
274,0.015,0.058,20180702
275,0.053,0.021,20180702
276,0.043,0.02,20180702
281,0.035,0.049,20180702
282,0.007,0.064,20180702
