VOBC, Acc0, Acc1, Date
2,0.003,0.004,20180627
10,0.049,0.032,20180627
11,0.037,0.035,20180627
13,0.038,0.036,20180627
14,0.05,0.054,20180627
18,0.031,0.006,20180627
19,0.047,0.065,20180627
20,0.042,0.045,20180627
22,0.039,0.019,20180627
23,0.037,0.049,20180627
24,0.008,0.021,20180627
25,0.01,0.043,20180627
26,0.047,0.013,20180627
27,0.029,0.065,20180627
28,0.008,0.054,20180627
100,0.036,0.038,20180627
101,0.028,0.002,20180627
102,0.013,0.008,20180627
105,0.0,0.031,20180627
106,0.042,0.037,20180627
110,0.008,0.021,20180627
111,0.042,0.03,20180627
112,0.052,0.023,20180627
113,0.021,0.041,20180627
114,0.008,0.043,20180627
115,0.062,0.011,20180627
116,0.047,0.03,20180627
117,0.058,0.01,20180627
118,0.001,0.043,20180627
119,0.009,0.008,20180627
120,0.011,0.034,20180627
121,0.018,0.024,20180627
122,0.056,0.035,20180627
123,0.058,0.027,20180627
124,0.005,0.029,20180627
125,0.032,0.035,20180627
126,0.019,0.04,20180627
127,0.054,0.035,20180627
128,0.024,0.033,20180627
129,0.013,0.021,20180627
130,0.015,0.047,20180627
131,0.045,0.046,20180627
132,0.002,0.064,20180627
133,0.009,0.015,20180627
134,0.047,0.007,20180627
135,0.047,0.031,20180627
136,0.021,0.024,20180627
137,0.042,0.053,20180627
138,0.051,0.027,20180627
139,0.06,0.02,20180627
140,0.042,0.019,20180627
141,0.012,0.059,20180627
142,0.065,0.028,20180627
143,0.013,0.047,20180627
144,0.035,0.044,20180627
145,0.056,0.063,20180627
146,0.045,0.05,20180627
147,0.006,0.027,20180627
148,0.045,0.055,20180627
151,0.006,0.003,20180627
152,0.056,0.034,20180627
153,0.009,0.02,20180627
154,0.035,0.035,20180627
155,0.037,0.028,20180627
162,0.023,0.049,20180627
163,0.021,0.061,20180627
164,0.02,0.063,20180627
171,0.019,0.007,20180627
172,0.061,0.02,20180627
173,0.034,0.049,20180627
174,0.054,0.004,20180627
175,0.014,0.037,20180627
176,0.041,0.044,20180627
177,0.063,0.038,20180627
178,0.061,0.012,20180627
179,0.036,0.049,20180627
180,0.014,0.048,20180627
181,0.024,0.008,20180627
182,0.062,0.058,20180627
183,0.007,0.003,20180627
184,0.003,0.054,20180627
185,0.039,0.039,20180627
186,0.06,0.016,20180627
187,0.05,0.045,20180627
188,0.007,0.004,20180627
191,0.034,0.045,20180627
192,0.051,0.052,20180627
193,0.013,0.025,20180627
194,0.045,0.03,20180627
195,0.029,0.058,20180627
196,0.058,0.031,20180627
197,0.01,0.025,20180627
199,0.046,0.023,20180627
200,0.041,0.042,20180627
201,0.005,0.019,20180627
202,0.007,0.031,20180627
205,0.056,0.048,20180627
206,0.007,0.014,20180627
211,0.042,0.013,20180627
212,0.052,0.034,20180627
213,0.049,0.014,20180627
214,0.037,0.012,20180627
215,0.022,0.027,20180627
216,0.038,0.019,20180627
219,0.051,0.01,20180627
220,0.019,0.004,20180627
222,0.043,0.023,20180627
223,0.047,0.036,20180627
224,0.02,0.012,20180627
225,0.026,0.054,20180627
226,0.064,0.003,20180627
227,0.021,0.029,20180627
228,0.052,0.045,20180627
229,0.012,0.033,20180627
230,0.015,0.053,20180627
231,0.043,0.01,20180627
232,0.033,0.063,20180627
233,0.046,0.022,20180627
234,0.031,0.011,20180627
237,0.052,0.013,20180627
241,0.043,0.053,20180627
244,0.012,0.044,20180627
245,0.009,0.065,20180627
246,0.038,0.004,20180627
249,0.022,0.018,20180627
250,0.0,0.033,20180627
252,0.022,0.018,20180627
253,0.054,0.012,20180627
254,0.032,0.033,20180627
255,0.051,0.039,20180627
256,0.018,0.048,20180627
257,0.006,0.026,20180627
258,0.036,0.019,20180627
261,0.033,0.0,20180627
262,0.012,0.026,20180627
263,0.009,0.048,20180627
264,0.001,0.058,20180627
265,0.011,0.044,20180627
266,0.045,0.064,20180627
267,0.023,0.042,20180627
268,0.049,0.045,20180627
269,0.038,0.018,20180627
270,0.06,0.046,20180627
271,0.001,0.043,20180627
272,0.039,0.003,20180627
273,0.049,0.049,20180627
274,0.005,0.018,20180627
275,0.007,0.03,20180627
276,0.003,0.028,20180627
281,0.034,0.045,20180627
282,0.016,0.005,20180627
